Date;Paris Austerlitz;
10/01/2015 04:00;1420858800000;1.88
10/01/2015 03:00;1420855200000;1.87
10/01/2015 02:00;1420851600000;1.87
10/01/2015 01:00;1420848000000;1.86
10/01/2015 00:00;1420844400000;1.85
09/01/2015 23:00;1420840800000;1.85
09/01/2015 22:00;1420837200000;1.85
09/01/2015 21:00;1420833600000;1.85
09/01/2015 20:00;1420830000000;1.85
09/01/2015 19:00;1420826400000;1.85
09/01/2015 18:00;1420822800000;1.85
09/01/2015 17:00;1420819200000;1.85
09/01/2015 16:00;1420815600000;1.85
09/01/2015 15:00;1420812000000;1.85
09/01/2015 14:00;1420808400000;1.83
09/01/2015 13:00;1420804800000;1.83
09/01/2015 12:00;1420801200000;1.81
